RTECS_ID,CAS_RN,SMILES,rat_subcutaneous_LDLo
50033,1950/3/3,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,3.208981738
50099,1950/9/9,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,2.792427111
51285,51-28-5,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,4.088979042
51456,51-45-6,NCCc1cnc[nH]1,2.647961644
51796,51-79-6,CCOC(N)=O,1.694575953
53463,53-46-3,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,3.026894431
56177,56-17-7,NCCSSCCN,2.944105056
56542,56-54-2,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.01121728
57476,57-47-6,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,5.439888235
57523,57-52-3,CC[Sn](CC)(CC)OS(=O)(=O)O[Sn](CC)(CC)CC,4.307801434
57921,57-92-1,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,2.986458213
58902,58-90-2,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,3.043068344
60797,60-79-7,CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,2.81346356
60800,60-80-0,Cc1cc(=O)n(-c2ccccc2)n1C,2.07878919
62135,62-13-5,CNCC(=O)c1ccc(O)c(O)c1,3.355046635
62328,62-32-8,CNCCc1ccc(O)c(O)c1,3.01913707
64437,64-43-7,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.400395983
64868,64-86-8,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,4.999394823
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.047169689
68359,68-35-9,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,1.398431352
69534,69-53-4,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,1.844367812
72571,72-57-1,Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O,3.463840254
75854,75-85-4,CCC(C)(C)O,1.799094281
76766,76-76-6,CCC1(C(C)C)C(=O)NC(=O)NC1=O,3.255759169
77021,1977/2/1,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,3.720640896
78671,78-67-1,CC(C)(C#N)N=NC(C)(C)C#N,3.738283636
78900,78-90-0,CC(N)CN,1.911412541
79209,79-20-9,COC(C)=O,0.966605124
87661,87-66-1,Oc1cccc(O)c1O,2.287839613
87694,87-69-4,O=C(O)C(O)C(O)C(=O)O,1.699218928
88755,88-75-5,O=[N+]([O-])c1ccccc1O,2.101965665
89838,89-83-8,Cc1ccc(C(C)C)c(O)c1,1.972610666
90051,1990/5/1,COc1ccccc1O,2.139665733
90697,90-69-7,CN1C(CC(=O)c2ccccc2)CCCC1CC(O)c1ccccc1,3.625136176
92706,92-70-6,O=C(O)c1cc2ccccc2cc1O,2.699390235
94075,1994/7/5,CNCC(O)c1ccc(O)cc1,2.047165793
95487,95-48-7,Cc1ccccc1O,3.221073009
95545,95-54-5,Nc1ccccc1N,2.255851179
95705,95-70-5,Cc1cc(N)ccc1N,2.291088111
95807,95-80-7,Cc1ccc(N)cc1N,2.542900084
97530,97-53-0,C=CCc1ccc(O)c(OC)c1,1.516413728
97632,97-63-2,C=C(C)C(=O)OCC,0.659513079
98953,98-95-3,O=[N+]([O-])c1ccccc1,2.187206872
100027,100-02-7,O=[N+]([O-])c1ccc(O)cc1,2.842328355
100516,100-51-6,OCc1ccccc1,1.803537444
100527,100-52-7,O=Cc1ccccc1,1.326843607
100652,100-65-2,ONc1ccccc1,3.435876205
100970,100-97-0,C1N2CN3CN1CN(C2)C3,2.84568704
101020,101-02-0,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,2.190736384
102829,102-82-9,CCCCN(CCCC)CCCC,2.688220709
103731,103-73-1,CCOc1ccccc1,1.542885865
106445,106-44-5,Cc1ccc(O)cc1,2.335016361
108394,108-39-4,Cc1cccc(O)c1,2.079743856
108452,108-45-2,Nc1cccc(N)c1,3.130912442
108463,108-46-3,Oc1cccc(O)c1,2.43977466
109579,109-57-9,C=CCNC(N)=S,3.36619501
111739,111-73-9,CCOCCCCO,3.641165522
113008,113-00-8,N=C(N)N,2.380145363
113155,113-15-5,CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)CC21,3.764678905
120809,120-80-9,Oc1ccccc1O,3.000441966
121324,121-32-4,CCOc1cc(C=O)ccc1O,1.965295796
123319,123-31-9,Oc1ccc(O)cc1,2.564713396
123637,123-63-7,CC1OC(C)OC(C)O1,1.9036128
126998,126-99-8,C=CC(=C)Cl,2.248154798
132923,132-92-3,COc1cccc(OC)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,1.978205633
135193,135-19-3,Oc1ccc2ccccc2c1,1.690536605
138658,138-65-8,NCC(O)c1ccc(O)c(O)c1,4.927319025
139935,139-93-5,Nc1cc([AsH]=[AsH]c2ccc(O)c(N)c2)ccc1O,3.322927769
141786,141-78-6,CCOC(C)=O,1.24603548
142654,142-65-4,CCCCCN,2.435197139
144003,144-00-3,CCCCCCC1(CC)C(=O)NC(=O)NC1=O,2.778699201
144025,144-02-5,CCC1(CC)C(=O)NC(=O)NC1=O,2.788156582
149917,149-91-7,O=C(O)c1cc(O)c(O)c(O)c1,1.53178537
154416,154-41-6,CC(N)C(O)c1ccccc1,3.276487654
300629,300-62-9,CC(N)Cc1ccccc1,3.733068804
302272,302-27-2,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,6.810061725
309433,309-43-3,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.25328791
311091,311-09-1,CC[N+](CC)(CCCNC1=CC(=O)C(NCCC[N+](CC)(CC)Cc2ccccc2)=CC1=O)Cc1ccccc1,5.322855158
329657,329-65-7,CNCC(O)c1ccc(O)c(O)c1,3.359852076
333937,333-93-7,NCCCCN,1.945242023
343942,343-94-2,NCCc1c[nH]c2ccccc12,2.090773375
403907,403-90-7,NC(Cc1ccc(O)c(F)c1)C(=O)O,4.171611656
457603,457-60-3,Nc1cc([As]=[As]c2ccc(O)c(NCOSO)c2)ccc1O,3.772493825
464482,464-48-2,CC12CCC(CC1=O)C2(C)C,1.952071296
477270,477-27-0,COc1cc2c(c(OC)c1OC)-c1ccc(O)c(=O)cc1C(NC(C)=O)CC2,3.710868476
504154,504-15-4,Cc1cc(O)cc(O)c1,2.093908243
508656,508-65-6,CC1CCC2N(C1)CC1C(C(O)C(O)C3(O)C1CC14OC5(O)C(O)CCC1(C)C5CC(O)C34)C2(C)O,2.406233511
513860,513-86-0,CC(=O)C(C)O,0.798877449
540727,540-72-7,N#CS,1.771536039
542905,542-90-5,CCSC#N,3.33819245
548663,548-66-3,CCN(CC)CCOC(=O)C(c1ccccc1)C1CCCCC1,2.297586813
554847,554-84-7,O=[N+]([O-])c1cccc(O)c1,2.444388346
555602,555-60-2,N#CC(C#N)=NNc1cccc(Cl)c1,3.611978076
556649,556-64-9,CSC#N,3.386914928
584087,584-08-7,O=C(O)O,3.537287266
593511,593-51-1,CN,2.19114349
593793,593-79-3,C[Se]C,1.699089518
615532,615-53-2,CCOC(=O)N(C)N=O,3.024055265
624180,624-18-0,Nc1ccc(N)cc1,2.803553508
628831,628-83-1,CCCCSC#N,3.236809834
630604,630-60-4,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,4.067932635
832928,832-92-8,COc1cc(CCN)cc(OC)c1OC,2.819669353
879721,879-72-1,CN(C)CCC(=O)c1ccccc1,2.947548898
950356,950-35-6,COP(=O)(OC)Oc1ccc([N+](=O)[O-])cc1,5.69397831
1030064,1030-06-4,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,3.978033501
1155039,1155-03-9,COc1ccc(CN(CCN(C)C)c2nccs2)cc1,3.02518666
1464422,1464-42-2,C[Se]CCC(N)C(=O)O,4.000239239
1464433,1464-43-3,NC(C[Se][Se]CC(N)C(=O)O)C(=O)O,4.409922724
1520714,1520-71-4,CCC[Pb](Cl)(CCC)CCC,4.529056848
2038575,2038-57-5,NCCCc1ccccc1,3.131008813
2045525,2045-52-5,CN(C)CCN(Cc1ccccc1)c1ccccc1,4.229386582
2052462,2052-46-2,CN(C)c1ccc(N)cc1,3.435200726
2125497,2125-49-7,COc1ccc(C(=O)CCN(C)C)cc1,2.86499774
2152445,2152-44-5,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,2.377110374
2198585,2198-58-5,CCN(CC)c1ccc(N)cc1,3.215510666
2216515,2216-51-5,CC1CCC(C(C)C)C(O)C1,2.193872833
2571860,2571-86-0,C=C(C)C1C2CC3(C)C4(CO4)C4OC4C3(O)C1C(=O)O2,5.444519448
2820511,2820-51-1,CN1CCCC1c1cccnc1,3.511177226
3485629,3485-62-9,C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,2.478916582
3485823,3485-82-3,Cn1c(=O)c2[nH]cnc2n(C)c1=O,2.743791886
3486860,3486-86-0,C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,3.636568128
3983399,3983-39-9,CNC(=O)Oc1cccc([N+](C)(C)C)c1,5.621734895
5853292,5853-29-2,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(O)c(OC)cc21,4.856051854
5967522,5967-52-2,CC(N)C(O)c1cccc(O)c1,3.621197061
5989275,5989-27-5,C=C(C)C1CC=C(C)CC1,0.654291317
6168861,6168-86-1,CNC(C)CCC=C(C)C,2.94589307
6249656,6249-65-6,CC[N+](C)(CC)c1cccc(OC(=O)N(C)C)c1,5.798218898
6379697,6379-69-7,CC=CC(=O)OC1CC2OC3C=C(C)C(=O)CC3(C)C1(C)C21CO1,3.12371578
7411123,2012/3/11,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC=O)CC2,5.284899744
11005633,11005-63-3,COC1CC(OC2CCC3(C=O)C(O)(CCC4(C)C3(C)CCC3(C)C(C5=CC(=O)OC5)CCC34O)C2)OC(C)C1OC1CC(CO)C(O)C(O)C1O,4.168436195
13004563,13004-56-3,O=C(OC1CN2CCC1CC2)C(O)(c1ccccc1)c1ccccc1,3.10492366
13479293,13479-29-3,O=c1[nH]c(=O)n(O)c2nc[nH]c12,2.33910799
14271024,14271-02-4,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,3.235230907
15879933,15879-93-3,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,3.189671349
16487379,16487-37-9,CN1C2CCC1CC(Oc1ccccc1)C2,3.683871195
18075213,18075-21-3,CCOc1ccc(C(=O)CCN2CCCCCC2)cc1,3.138921324
18984800,18984-80-0,CCC1CN2CCC1CC2C(O)c1ccnc2ccc(OCCC(C)C)cc12,2.679595949
19942780,19942-78-0,CCCCCCCCSC#N,1.533422652
20382870,20382-87-0,CN1C2CCC1CC(Oc1ccc(Cl)cc1)C2,3.446739045
20382892,20382-89-2,CN1C2CCC1CC(Oc1cccc(C(F)(F)F)c1)C2,3.455315472
21259767,21259-76-7,COC(CNC(=O)C1CCC(C)(C(=O)O)C1(C)C)C[Hg]SCC(=O)O,4.603646916
21600420,21600-42-0,CN(C)N=Nc1ccc[n+]([O-])c1,2.919559212
21770810,21770-81-0,CNC(=N)N,2.289880168
24301868,24301-86-8,CCC(N)c1ccccc1,2.916164965
27819472,27819-47-2,CCN(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,2.36630019
29069247,29069-24-7,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,3.703460655
29547000,29547-00-0,CN(C)C(CSS(=O)(=O)O)CSS(=O)(=O)O,3.289237674
33185874,33185-87-4,CC1CCC(NC(=O)N(CCCl)N=O)CC1,3.39397159
35462545,35462-54-5,CN(C)c1ccccc1,3.0834417
35763441,35763-44-1,CCCCC1(CC)C(=O)NC(=O)NC1=O,3.423755666
42609529,42609-52-9,Cc1ccc(NC(=O)NC(C)(C)c2ccccc2)cc1,1.884649739
51775178,51775-17-8,CCN(CCCl)CC1COc2ccccc2O1,3.80574716
52991034,52991-03-4,CC(CN)c1ccccc1,2.432038808
53214576,53214-57-6,CNC(C)C(O)c1ccccc1,2.911396898
54749905,54749-90-5,O=CC(NC(=O)N(CCCl)N=O)C(O)C(O)C(O)CO,3.894446221
64046077,64046-07-7,C=CC[N+](C)(C)c1cccc(OC(=O)NC)c1,6.070604851
64046204,64046-20-4,CCC[N+](C)(C)c1cccc(OC(=O)NC)c1,6.074309834
64050017,64050-01-7,CNC(=O)Oc1cc([N+](C)(C)C)ccc1C,6.047850948
64050959,64050-95-9,C=CC[N+](C)(C)c1ccc(OC(=O)NC)cc1C,5.6978115
64211467,64211-46-7,Clc1ccc(CON=C(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,1.757531661
66940974,66940-97-4,CCC1(CC)C(=O)N=C(Nc2ccccc2)NC1=O,2.63566634
1329868,1329-86-8,OCC(Br)(Br)Br,2.727137496
1424277,1424-27-7,CC(=O)Nc1nnc(S(N)(=O)=O)s1,1.869722469
2312767,2312-76-7,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.995929012
3198070,3198-07-0,CCC(N)C(O)c1ccc(O)c(O)c1,3.0908618
3254668,3254-66-8,CC(C)OP(=O)(Oc1ccc([N+](=O)[O-])cc1)OC(C)C,4.782832237
3330469,3330-46-9,C=C(Br)CC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.626248639
3722121,2012/1/22,N#CC(C#N)=NNc1ccc([N+](=O)[O-])cc1,3.332785757
7568936,7568-93-6,NCC(O)c1ccccc1,2.632147152
23593751,23593-75-1,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,1.537623933
23795031,23795-03-1,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,2.669359496
63906887,63906-88-7,O=C(NC(CCN1CCCCC1)c1ccccc1)c1ccccc1,3.459247052
63981533,63981-53-3,CC(C)c1cc(OC(=O)N(C)C)ccc1[N+](C)(C)C,6.122833285
90098047,90098-04-7,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,1.967070364
